Topic,Count,Name,Representation,Representative_Docs
50,24,50_mountains_sky_be like_earth has,"['mountains', 'sky', 'be like', 'earth has', 'earth', 'seas', 'when', 'open', 'has been', 'removed']","['And the mountains will be like wool, fluffed up.', 'On the Day the earth and the mountains will convulse and the mountains will become a heap of sand pouring down.', 'And the mountains will be like wool,']"
51,22,51_might merciful_lord exalted_merciful_exalted in,"['might merciful', 'lord exalted', 'merciful', 'exalted in', 'in might', 'revelation', 'exalted', 'might', 'revelation from', 'your lord']","['And indeed, your Lord - He is the Exalted in Might, the Merciful.', 'And indeed, your Lord - He is the Exalted in Might, the Merciful.', 'And indeed, your Lord - He is the Exalted in Might, the Merciful.']"
52,22,52_sends astray_astray_sends_rightly guided,"['sends astray', 'astray', 'sends', 'rightly guided', 'rightly', 'guide', 'whoever allah', 'allah guides', 'guides', 'guided']","['And whoever Allah guides - he is the [rightly] guided; and whoever He sends astray - you will never find for them protectors besides Him, and We will gather them on the Day of Resurrection [fallen] on their faces - blind, dumb and deaf. Their refuge is Hell; every time it subsides We increase them in blazing fire.', 'Whoever Allah guides - he is the [rightly] guided; and whoever He sends astray - it is those who are the losers.', 'Then is one to whom the evil of his deed has been made attractive so he considers it good [like one rightly guided]? For indeed, Allah sends astray whom He wills and guides whom He wills. So do not let yourself perish over them in regret. Indeed, Allah is Knowing of what they do.']"
53,22,53_divided_eminent among_who disbelieved_differed,"['divided', 'eminent among', 'who disbelieved', 'differed', 'community', 'we do', 'eminent', 'among', 'disbelieved', 'disbelieved from']","['And mankind was not but one community [united in religion], but [then] they differed. And if not for a word that preceded from your Lord, it would have been judged between them [immediately] concerning that over which they differ.', 'And they did not become divided until after knowledge had come to them - out of jealous animosity between themselves. And if not for a word that preceded from your Lord [postponing the penalty] until a specified time, it would have been concluded between them. And indeed, those who were granted inheritance of the Scripture after them are, concerning it, in disquieting doubt.', 'So the eminent among those who disbelieved from his people said, ""We do not see you but as a man like ourselves, and we do not see you followed except by those who are the lowest of us [and] at first suggestion. And we do not see in you over us any merit; rather, we think you are liars.""']"
54,22,54_signs_signs for_signs that_that signs,"['signs', 'signs for', 'signs that', 'that signs', 'for people', 'people who', 'in that', 'earth', 'thought', 'who give']","['And of His signs is the creation of the heavens and the earth and the diversity of your languages and your colors. Indeed in that are signs for those of knowledge.', 'And He has subjected to you whatever is in the heavens and whatever is on the earth - all from Him. Indeed in that are signs for a people who give thought.', 'And of His signs is that He created for you from yourselves mates that you may find tranquillity in them; and He placed between you affection and mercy. Indeed in that are signs for a people who give thought.']"
55,22,55_thamud_denied messengers_denied_people lot,"['thamud', 'denied messengers', 'denied', 'people lot', 'companions', 'messengers', 'lot', 'company', 'aad denied', 'peoples']","['The companions of the thicket denied the messengers', 'The people of Lot denied the messengers', 'Thamud denied the messengers']"
56,21,56_seen_al_so have_have considered,"['seen', 'al', 'so have', 'have considered', 'considered', 'so', 'have', '', '', '']","[""'Ayn, Seen, Qaf."", 'Ta, Seen, Meem.', 'Ya, Seen.']"
57,21,57_noah_people noah_denied before_denied,"['noah', 'people noah', 'denied before', 'denied', 'my', 'my lord', 'we carried', 'noah people', 'descendants', 'lord my']","['The people of Noah denied before them, and they denied Our servant and said, ""A madman,"" and he was repelled.', 'The people of Noah denied the messengers', 'The people of Noah denied before them, and the companions of the well and Thamud']"
58,21,58_hellfire_hellfire will_fire_will be,"['hellfire', 'hellfire will', 'fire', 'will be', 'closed', 'in hellfire', 'deviators', 'will', 'in fire', 'be']","['You will surely see the Hellfire.', 'Indeed, Hellfire will be closed down upon them', 'Then indeed, Hellfire will be [his] refuge.']"
59,21,59_recompense_record_for who_who given,"['recompense', 'record', 'for who', 'who given', 'day recompense', 'as for', 'have seen', 'read', 'recompense then', 'hand']","['Then as for he who is given his record in his right hand,', 'So as for he who is given his record in his right hand, he will say, ""Here, read my record!', 'But as for he who is given his record in his left hand, he will say, ""Oh, I wish I had not been given my record']"
60,21,60_females_daughters_males_son,"['females', 'daughters', 'males', 'son', 'sons', 'taken', 'chosen', 'exalted', 'has taken', 'exalted allah']","['They have said, ""Allah has taken a son."" Exalted is He; He is the [one] Free of need. To Him belongs whatever is in the heavens and whatever is in the earth. You have no authority for this [claim]. Do you say about Allah that which you do not know?', 'Allah has not taken any son, nor has there ever been with Him any deity. [If there had been], then each deity would have taken what it created, and some of them would have sought to overcome others. Exalted is Allah above what they describe [concerning Him].', 'Or has He taken, out of what He has created, daughters and chosen you for [having] sons?']"
61,20,61_adam_iblees_tree_prostrate,"['adam', 'iblees', 'tree', 'prostrate', 'private parts', 'parts', 'their private', 'paradise', 'private', 'your wife']","['And Adam and his wife ate of it, and their private parts became apparent to them, and they began to fasten over themselves from the leaves of Paradise. And Adam disobeyed his Lord and erred.', 'And [mention] when We said to the angels, ""Prostrate to Adam,"" and they prostrated, except Iblees; he refused.', 'And [mention] when We said to the angels, ""Prostrate before Adam""; so they prostrated, except for Iblees. He refused and was arrogant and became of the disbelievers.']"
62,20,62_can make_make know_what can_know what,"['can make', 'make know', 'what can', 'know what', 'calamity', 'can', 'striking', 'make', 'what', 'know']","[""And what can make you know what is 'illiyyun?"", 'And what can make you know what that is?', 'And what can make you know what is the Striking Calamity?']"
63,20,63_prayer_who spend_what right_establish prayer,"['prayer', 'who spend', 'what right', 'establish prayer', 'who', 'what wrong', 'establish', 'those who', 'prayer give', 'spend']","['Those who follow the Messenger, the unlettered prophet, whom they find written in what they have of the Torah and the Gospel, who enjoins upon them what is right and forbids them what is wrong and makes lawful for them the good things and prohibits for them the evil and relieves them of their burden and the shackles which were upon them. So they who have believed in him, honored him, supported him and followed the light which was sent down with him - it is those who will be the successful.', '[Such believers are] the repentant, the worshippers, the praisers [of Allah], the travelers [for His cause], those who bow and prostrate [in prayer], those who enjoin what is right and forbid what is wrong, and those who observe the limits [set by] Allah. And give good tidings to the believers.', '[And they are] those who, if We give them authority in the land, establish prayer and give zakah and enjoin what is right and forbid what is wrong. And to Allah belongs the outcome of [all] matters.']"
64,20,64_my_my people_my lord_merciful merciful,"['my', 'my people', 'my lord', 'merciful merciful', 'upon clear', 'lord has', 'me', 'greater', 'me if', 'evidence from']","['And when he reached with him [the age of] exertion, he said, ""O my son, indeed I have seen in a dream that I [must] sacrifice you, so see what you think."" He said, ""O my father, do as you are commanded. You will find me, if Allah wills, of the steadfast.""', 'He said, ""O my people, have you considered: if I should be upon clear evidence from my Lord and He has given me mercy from Himself, who would protect me from Allah if I disobeyed Him? So you would not increase me except in loss.', 'He said, ""O my people, have you considered: if I am upon clear evidence from my Lord and He has provided me with a good provision from Him...? And I do not intend to differ from you in that which I have forbidden you; I only intend reform as much as I am able. And my success is not but through Allah. Upon him I have relied, and to Him I return.']"
65,20,65_allah may_may_that allah_may reward,"['allah may', 'may', 'that allah', 'may reward', 'that may', 'accept', 'over what', 'reward', 'repentance', 'best what']","['That Allah may reward them [according to] the best of what they did and increase them from His bounty. And Allah gives provision to whom He wills without account.', 'That Allah may reward the truthful for their truth and punish the hypocrites if He wills or accept their repentance. Indeed, Allah is ever Forgiving and Merciful.', '[It was] so that Allah may punish the hypocrite men and hypocrite women and the men and women who associate others with Him and that Allah may accept repentance from the believing men and believing women. And ever is Allah Forgiving and Merciful.']"
66,20,66_repentance_forgive me_forgive_forgiving merciful,"['repentance', 'forgive me', 'forgive', 'forgiving merciful', 'merciful', 'forgiving', 'ask forgiveness', 'merciful but', 'me my', 'my parents']","['Except for those who repent and correct themselves and make evident [what they concealed]. Those - I will accept their repentance, and I am the Accepting of repentance, the Merciful.', 'My Lord, forgive me and my parents and whoever enters my house a believer and the believing men and believing women. And do not increase the wrongdoers except in destruction.""', 'Then, indeed your Lord, to those who have done wrong out of ignorance and then repent after that and correct themselves - indeed, your Lord, thereafter, is Forgiving and Merciful.']"
67,20,67_message_messengers_sent_teaching,"['message', 'messengers', 'sent', 'teaching', 'revealed', 'we revealed', 'we sent', 'dreams', 'purifying', 'messengers our']","['[We sent them] with clear proofs and written ordinances. And We revealed to you the message that you may make clear to the people what was sent down to them and that they might give thought.', 'It is He who has sent among the unlettered a Messenger from themselves reciting to them His verses and purifying them and teaching them the Book and wisdom - although they were before in clear error -', 'Just as We have sent among you a messenger from yourselves reciting to you Our verses and purifying you and teaching you the Book and wisdom and teaching you that which you did not know.']"
68,19,68_night_night day_causes_enter,"['night', 'night day', 'causes', 'enter', 'signs for', 'day', 'sun', 'for people', 'signs', 'people who']","['And He has subjected for you the night and day and the sun and moon, and the stars are subjected by His command. Indeed in that are signs for a people who reason.', 'He causes the night to enter the day, and He causes the day to enter the night and has subjected the sun and the moon - each running [its course] for a specified term. That is Allah, your Lord; to Him belongs sovereignty. And those whom you invoke other than Him do not possess [as much as] the membrane of a date seed.', 'Do you not see that Allah causes the night to enter the day and causes the day to enter the night and has subjected the sun and the moon, each running [its course] for a specified term, and that Allah, with whatever you do, is Acquainted?']"
69,19,69_burn_will enter_enter_fire,"['burn', 'will enter', 'enter', 'fire', 'wretched', 'in hellfire', 'hell which', 'therein', 'flame', 'greatest']","['[It is] Hell, which they will [enter to] burn, and wretched is the settlement.', '[He] who will [enter and] burn in the greatest Fire,', 'They will [enter to] burn in an intensely hot Fire.']"
70,18,70_from way_people from_way allah_way,"['from way', 'people from', 'way allah', 'way', 'averted', 'avert people', 'it seem', 'deviant', 'seem deviant', 'allah without']","['The ones who prefer the worldly life over the Hereafter and avert [people] from the way of Allah, seeking to make it (seem) deviant. Those are in extreme error.', 'Who averted [people] from the way of Allah and sought to make it [seem] deviant while they, concerning the Hereafter, were disbelievers.', 'Who averted [people] from the way of Allah and sought to make it [seem] deviant while they were, concerning the Hereafter, disbelievers.']"
71,18,71_him with_punish him_him_punish,"['him with', 'punish him', 'him', 'punish', 'will surely', 'will', 'surely', 'destruction then', 'had known', 'will cry']","['He will say, ""Oh, I wish I had sent ahead [some good] for my life.""', 'Then Allah will punish him with the greatest punishment.', 'I will surely punish him with a severe punishment or slaughter him unless he brings me clear authorization.""']"
72,18,72_victory_avail_good tidings_allah made,"['victory', 'avail', 'good tidings', 'allah made', 'tidings', 'promise', 'in promise', 'allah exalted', 'from allah', 'believers that']","['And when they have [nearly] fulfilled their term, either retain them according to acceptable terms or part with them according to acceptable terms. And bring to witness two just men from among you and establish the testimony for [the acceptance of] Allah. That is instructed to whoever should believe in Allah and the Last day. And whoever fears Allah - He will make for him a way out', 'And Allah made it not except as [a sign of] good tidings for you and to reassure your hearts thereby. And victory is not except from Allah, the Exalted in Might, the Wise -', 'And Allah made it not but good tidings and so that your hearts would be assured thereby. And victory is not but from Allah. Indeed, Allah is Exalted in Might and Wise.']"
73,18,73_would have_if had_had_feared allah,"['would have', 'if had', 'had', 'feared allah', 'had believed', 'if only', 'would', 'feared', 'cities', 'cities we']","['And if only the People of the Scripture had believed and feared Allah, We would have removed from them their misdeeds and admitted them to Gardens of Pleasure.', 'And if they had believed and feared Allah, then the reward from Allah would have been [far] better, if they only knew.', 'And if only the people of the cities had believed and feared Allah, We would have opened upon them blessings from the heaven and the earth; but they denied [the messengers], so We seized them for what they were earning.""']"
74,18,74_reason_use reason_use_not use,"['reason', 'use reason', 'use', 'not use', 'scripture', 'not reason', 'small price', 'for small', 'home hereafter', 'price']","['And We sent not before you [as messengers] except men to whom We revealed from among the people of cities. So have they not traveled through the earth and observed how was the end of those before them? And the home of the Hereafter is best for those who fear Allah; then will you not reason?', 'Uff to you and to what you worship instead of Allah. Then will you not use reason?""', 'And there followed them successors who inherited the Scripture [while] taking the commodities of this lower life and saying, ""It will be forgiven for us."" And if an offer like it comes to them, they will [again] take it. Was not the covenant of the Scripture taken from them that they would not say about Allah except the truth, and they studied what was in it? And the home of the Hereafter is better for those who fear Allah, so will you not use reason?']"
75,18,75_would surely_created heavens_created_asked,"['would surely', 'created heavens', 'created', 'asked', 'who created', 'earth would', 'heavens earth', 'earth', 'heavens', 'surely']","['If you asked them, ""Who created the heavens and earth and subjected the sun and the moon?"" they would surely say, ""Allah."" Then how are they deluded?', 'And if you asked them, ""Who created the heavens and the earth?"" they would surely say, ""Allah."" Say, ""Then have you considered what you invoke besides Allah? If Allah intended me harm, are they removers of His harm; or if He intended me mercy, are they withholders of His mercy?"" Say, ""Sufficient for me is Allah; upon Him [alone] rely the [wise] reliers.""', 'And if you asked them, ""Who created the heavens and earth?"" they would surely say, ""Allah."" Say, ""[All] praise is [due] to Allah ""; but most of them do not know.']"
76,17,76_taste_taste punishment_so taste_earned will,"['taste', 'taste punishment', 'so taste', 'earned will', 'punishment', 'earned', 'punishment for', 'used do', 'used', 'on it']","['So taste [punishment] because you forgot the meeting of this, your Day; indeed, We have [accordingly] forgotten you. And taste the punishment of eternity for what you used to do.""', 'That was a nation which has passed on. It will have [the consequence of] what it earned, and you will have what you have earned. And you will not be asked about what they used to do.', 'That is a nation which has passed on. It will have [the consequence of] what it earned, and you will have what you have earned. And you will not be asked about what they used to do.']"
77,17,77_book_revealed_word_judge by,"['book', 'revealed', 'word', 'judge by', 'those whom', 'little do', 'whom we', 'recognize', 'revealed from', 'mislead']","['And let the People of the Gospel judge by what Allah has revealed therein. And whoever does not judge by what Allah has revealed - then it is those who are the defiantly disobedient.', 'Those to whom We have given the Book recite it with its true recital. They [are the ones who] believe in it. And whoever disbelieves in it - it is they who are the losers.', 'Those to whom We have given the Scripture recognize it as they recognize their [own] sons. Those who will lose themselves [in the Hereafter] do not believe.']"
78,17,78_most knowing_feel secure_feel_knowing who,"['most knowing', 'feel secure', 'feel', 'knowing who', 'guided', 'lord most', 'secure', 'from way', 'most', 'then would']","['Then do you feel secure that [instead] He will not cause a part of the land to swallow you or send against you a storm of stones? Then you would not find for yourselves an advocate.', 'Or do you feel secure that He who [holds authority] in the heaven would not send against you a storm of stones? Then you would know how [severe] was My warning.', 'Indeed, your Lord is most knowing of who strays from His way, and He is most knowing of the [rightly] guided.']"
79,17,79_isaac_isaac jacob_we gave_gave him,"['isaac', 'isaac jacob', 'we gave', 'gave him', 'jacob', 'gave', 'prophet', 'in book', 'ishmael', 'abraham isaac']","['And We gave him Isaac and Jacob in addition, and all [of them] We made righteous.', 'And his Wife was standing, and she smiled. Then We gave her good tidings of Isaac and after Isaac, Jacob.', 'And We gave to Him Isaac and Jacob and placed in his descendants prophethood and scripture. And We gave him his reward in this world, and indeed, he is in the Hereafter among the righteous.']"
80,17,80_partners_others with_do have_with allah,"['partners', 'others with', 'do have', 'with allah', 'your partners', 'associate', 'by which', 'ally', 'others', 'never be']","['And never let them avert you from the verses of Allah after they have been revealed to you. And invite [people] to your Lord. And never be of those who associate others with Allah.', 'And [mention, O Muhammad], the Day We will gather them all together; then We will say to those who associated others with Allah, ""Where are your \'partners\' that you used to claim [with Him]?""', ""And [commanded], 'Direct your face toward the religion, inclining to truth, and never be of those who associate others with Allah;""]"
81,16,81_fire_companions fire_companions_who disbelieved,"['fire', 'companions fire', 'companions', 'who disbelieved', 'refuge fire', 'but ones', 'whoever wills', 'or from', 'wretched', 'disbelieved']","['So today no ransom will be taken from you or from those who disbelieved. Your refuge is the Fire. It is most worthy of you, and wretched is the destination.', 'But the ones who deny Our verses and are arrogant toward them - those are the companions of the Fire; they will abide therein eternally.', 'But the ones who disbelieved and denied Our verses - those are the companions of the Fire, abiding eternally therein; and wretched is the destination.']"
82,16,82_deniers_woe_that day_day,"['deniers', 'woe', 'that day', 'day', 'that', 'then woe', 'what day', 'those astray', 'astray who', 'day it']","['Woe, that Day, to the deniers.', 'Woe, that Day, to the deniers.', 'Woe, that Day, to the deniers.']"
83,16,83_camel_eat_sacrifice_grazing,"['camel', 'eat', 'sacrifice', 'grazing', 'animals', 'touch with', 'eat what', 'drink', 'feed', 'harm']","['And they say, ""These animals and crops are forbidden; no one may eat from them except whom we will,"" by their claim. And there are those [camels] whose backs are forbidden [by them] and those upon which the name of Allah is not mentioned - [all of this] an invention of untruth about Him. He will punish them for what they were inventing.', 'And the camels and cattle We have appointed for you as among the symbols of Allah; for you therein is good. So mention the name of Allah upon them when lined up [for sacrifice]; and when they are [lifeless] on their sides, then eat from them and feed the needy and the beggar. Thus have We subjected them to you that you may be grateful.', 'And to the Thamud [We sent] their brother Salih. He said, ""O my people, worship Allah; you have no deity other than Him. There has come to you clear evidence from your Lord. This is the she-camel of Allah [sent] to you as a sign. So leave her to eat within Allah \'s land and do not touch her with harm, lest there seize you a painful punishment.']"
84,16,84_lot_family_when people_immorality,"['lot', 'family', 'when people', 'immorality', 'save', 'commit', 'these my', 'family except', 'for great', 'among worlds']","['And [We had sent] Lot when he said to his people, ""Do you commit such immorality as no one has preceded you with from among the worlds?', 'And [mention] Lot, when he said to his people, ""Indeed, you commit such immorality as no one has preceded you with from among the worlds.', 'And when Our messengers came to Lot, he was distressed for them and felt for them great discomfort. They said, ""Fear not, nor grieve. Indeed, we will save you and your family, except your wife; she is to be of those who remain behind.']"
85,16,85_certainty_well known_known_what promised,"['certainty', 'well known', 'known', 'what promised', 'see it', 'it truth', 'swear by', 'until day', 'will see', 'see']","['Until the Day of the time well-known.""', 'And indeed, it is the truth of certainty.', 'Then you will surely see it with the eye of certainty.']"
86,15,86_be gathered_warn_so be_gathered,"['be gathered', 'warn', 'so be', 'gathered', 'be patient', 'warn day', 'no doubt', 'allah truth', 'patient', 'which there']","['That is from the news of the unseen which We reveal to you, [O Muhammad]. You knew it not, neither you nor your people, before this. So be patient; indeed, the [best] outcome is for the righteous.', ""And warn by the Qur'an those who fear that they will be gathered before their Lord - for them besides Him will be no protector and no intercessor - that they might become righteous."", ""And thus We have revealed to you an Arabic Qur'an that you may warn the Mother of Cities [Makkah] and those around it and warn of the Day of Assembly, about which there is no doubt. A party will be in Paradise and a party in the Blaze.""]"
87,15,87_transgressors_approach_seeks_evil,"['transgressors', 'approach', 'seeks', 'evil', 'evil consequences', 'consequences', 'place return', 'what earned', 'that then', 'oppressed']","['But whoever seeks beyond that, then those are the transgressors -', 'But whoever seeks beyond that, then they are the transgressors -', 'And the evil consequences of what they earned struck them. And those who have wronged of these [people] will be afflicted by the evil consequences of what they earned; and they will not cause failure.']"
88,15,88_if we_could_we could_proceed,"['if we', 'could', 'we could', 'proceed', 'turned', 'we willed', 'would', 'away with', 'we', 'willed we']","['And if We willed, We could have deformed them, [paralyzing them] in their places so they would not be able to proceed, nor could they return.', 'And if We had destroyed them with a punishment before him, they would have said, ""Our Lord, why did You not send to us a messenger so we could have followed Your verses before we were humiliated and disgraced?""', 'And if We willed, We could surely do away with that which We revealed to you. Then you would not find for yourself concerning it an advocate against Us.']"
89,15,89_prayer_trusts_commitment_prayer those,"['prayer', 'trusts', 'commitment', 'prayer those', 'promises', 'maintain', 'prayers', 'excessively', 'during their', 'constant']","['And those who [carefully] maintain their prayer:', 'But those who hold fast to the Book and establish prayer - indeed, We will not allow to be lost the reward of the reformers.', 'And do not approach the property of an orphan, except in the way that is best, until he reaches maturity. And fulfill [every] commitment. Indeed, the commitment is ever [that about which one will be] questioned.']"
90,15,90_prostrate_arrogant_exalt_lord not,"['prostrate', 'arrogant', 'exalt', 'lord not', 'exalt him', 'bow', 'prevented', 'when it', 'exalt allah', 'with praise']","['So exalt [Allah] with praise of your Lord and be of those who prostrate [to Him].', 'Only those believe in Our verses who, when they are reminded by them, fall down in prostration and exalt [Allah] with praise of their Lord, and they are not arrogant.', 'Indeed, those who are near your Lord are not prevented by arrogance from His worship, and they exalt Him, and to Him they prostrate.']"
91,15,91_satan_devil_enemy_clear enemy,"['satan', 'devil', 'enemy', 'clear enemy', 'except delusion', 'not promise', 'satan has', 'but satan', 'delusion', 'not worship']","['And tell My servants to say that which is best. Indeed, Satan induces [dissension] among them. Indeed Satan is ever, to mankind, a clear enemy.', 'And incite [to senselessness] whoever you can among them with your voice and assault them with your horses and foot soldiers and become a partner in their wealth and their children and promise them."" But Satan does not promise them except delusion.', 'Satan promises them and arouses desire in them. But Satan does not promise them except delusion.']"
92,14,92_reward_good_bounty_their lord,"['reward', 'good', 'bounty', 'their lord', 'doers good', 'doers', 'favor from', 'righteousness', 'gives', 'receive']","['So Allah rewarded them for what they said with gardens [in Paradise] beneath which rivers flow, wherein they abide eternally. And that is the reward of doers of good.', 'So Allah gave them the reward of this world and the good reward of the Hereafter. And Allah loves the doers of good.', 'Righteousness is not that you turn your faces toward the east or the west, but [true] righteousness is [in] one who believes in Allah, the Last Day, the angels, the Book, and the prophets and gives wealth, in spite of love for it, to relatives, orphans, the needy, the traveler, those who ask [for help], and for freeing slaves; [and who] establishes prayer and gives zakah; [those who] fulfill their promise when they promise; and [those who] are patient in poverty and hardship and during battle. Those are the ones who have been true, and it is those who are the righteous.']"
93,14,93_worship_besides_have taken_religion,"['worship', 'besides', 'have taken', 'religion', 'besides allah', 'deities', 'than allah', 'besides him', 'allah that', 'or have']","['And they worship other than Allah that which neither harms them nor benefits them, and they say, ""These are our intercessors with Allah "" Say, ""Do you inform Allah of something He does not know in the heavens or on the earth?"" Exalted is He and high above what they associate with Him', 'They have taken their scholars and monks as lords besides Allah, and [also] the Messiah, the son of Mary. And they were not commanded except to worship one God; there is no deity except Him. Exalted is He above whatever they associate with Him.', 'You worship not besides Him except [mere] names you have named them, you and your fathers, for which Allah has sent down no authority. Legislation is not but for Allah. He has commanded that you worship not except Him. That is the correct religion, but most of the people do not know.']"
94,14,94_aad_thamud_away with_as for,"['aad', 'thamud', 'away with', 'as for', 'destroyed', 'denied their', 'had never', 'in strength', 'as', 'lord then']","['As for \'Aad, they were arrogant upon the earth without right and said, ""Who is greater than us in strength?"" Did they not consider that Allah who created them was greater than them in strength? But they were rejecting Our signs.', 'As if they had never prospered therein. Unquestionably, Thamud denied their Lord; then, away with Thamud.', ""And they were [therefore] followed in this world with a curse and [as well] on the Day of Resurrection. Unquestionably, 'Aad denied their Lord; then away with 'Aad, the people of Hud.""]"
95,14,95_our verses_disbelief_disbelieved_harm allah,"['our verses', 'disbelief', 'disbelieved', 'harm allah', 'never', 'verses', 'allah forgive', 'while disbelievers', 'punishment those', 'conspire']","['Indeed, those who have believed then disbelieved, then believed, then disbelieved, and then increased in disbelief - never will Allah forgive them, nor will He guide them to a way.', 'And when Our verses are recited to them as clear evidences, you recognize in the faces of those who disbelieve disapproval. They are almost on the verge of assaulting those who recite to them Our verses. Say, ""Then shall I inform you of [what is] worse than that? [It is] the Fire which Allah has promised those who disbelieve, and wretched is the destination.""', 'O you who have believed, do not be like those who disbelieved and said about their brothers when they traveled through the land or went out to fight, ""If they had been with us, they would not have died or have been killed,"" so Allah makes that [misconception] a regret within their hearts. And it is Allah who gives life and causes death, and Allah is Seeing of what you do.']"
96,14,96_scalding_scalding water_water_foul,"['scalding', 'scalding water', 'water', 'foul', 'water then', 'bellies', 'drink', 'taste', 'like murky', 'hear from']","['And drinking on top of it from scalding water', 'Except scalding water and [foul] purulence -', 'Like the boiling of scalding water.']"
97,14,97_believing servants_believing_wisdom_taught,"['believing servants', 'believing', 'wisdom', 'taught', 'taught him', 'servants', 'been given', 'strength', 'gave him', 'happiness']","['Indeed, he was of Our believing servants.', 'Indeed, he was of Our believing servants.', 'Indeed, he was of Our believing servants.']"
98,14,98_emigrated_cause allah_for cause_fought,"['emigrated', 'cause allah', 'for cause', 'fought', 'cause', 'allah allah', 'relatives', 'forgiving merciful', 'relationship', 'inheritance']","['And their Lord responded to them, ""Never will I allow to be lost the work of [any] worker among you, whether male or female; you are of one another. So those who emigrated or were evicted from their homes or were harmed in My cause or fought or were killed - I will surely remove from them their misdeeds, and I will surely admit them to gardens beneath which rivers flow as reward from Allah, and Allah has with Him the best reward.""', 'Then, indeed your Lord, to those who emigrated after they had been compelled [to renounce their religion] and thereafter fought [for the cause of Allah] and were patient - indeed, your Lord, after that, is Forgiving and Merciful', 'Indeed, those who have believed and those who have emigrated and fought in the cause of Allah - those expect the mercy of Allah. And Allah is Forgiving and Merciful.']"
99,13,99_dead_die_killed_living,"['dead', 'die', 'killed', 'living', 'life then', 'life', 'die then', 'whoever desires', 'give him', 'takes']","['Allah takes the souls at the time of their death, and those that do not die [He takes] during their sleep. Then He keeps those for which He has decreed death and releases the others for a specified term. Indeed in that are signs for a people who give thought.', 'And it is not [possible] for one to die except by permission of Allah at a decree determined. And whoever desires the reward of this world - We will give him thereof; and whoever desires the reward of the Hereafter - We will give him thereof. And we will reward the grateful.', 'And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a portion of them; then call them - they will come [flying] to you in haste. And know that Allah is Exalted in Might and Wise.""']"
100,13,100_earth in_created heavens_created_creation,"['earth in', 'created heavens', 'created', 'creation', 'in six', 'six', 'six days', 'heavens earth', 'heavens', 'allah created']","['It is He who created the heavens and earth in six days and then established Himself above the Throne. He knows what penetrates into the earth and what emerges from it and what descends from the heaven and what ascends therein; and He is with you wherever you are. And Allah, of what you do, is Seeing.', 'Indeed, your Lord is Allah, who created the heavens and earth in six days and then established Himself above the Throne. He covers the night with the day, [another night] chasing it rapidly; and [He created] the sun, the moon, and the stars, subjected by His command. Unquestionably, His is the creation and the command; blessed is Allah, Lord of the worlds.', 'Indeed, your Lord is Allah, who created the heavens and the earth in six days and then established Himself above the Throne, arranging the matter [of His creation]. There is no intercessor except after His permission. That is Allah, your Lord, so worship Him. Then will you not remember?']"
101,13,101_down him_sign_from lord_signs,"['down him', 'sign', 'from lord', 'signs', 'him from', 'why', 'why has', 'been sent', 'signs allah', 'sent down']","['And those who disbelieved say, ""Why has a sign not been sent down to him from his Lord?"" Say, [O Muhammad], ""Indeed, Allah leaves astray whom He wills and guides to Himself whoever turns back [to Him] -', 'And those who disbelieved say, ""Why has a sign not been sent down to him from his Lord?"" You are only a warner, and for every people is a guide.', 'And they say, ""Why has a sign not been sent down to him from his Lord?"" Say, ""Indeed, Allah is Able to send down a sign, but most of them do not know.""']"
102,13,102_polytheists_treaty_their partners_partners,"['polytheists', 'treaty', 'their partners', 'partners', 'with whom', 'al', 'those with', 'as their', 'this for', 'righteous who']","['And the polytheists assign to Allah from that which He created of crops and livestock a share and say, ""This is for Allah,"" by their claim, ""and this is for our partners [associated with Him]."" But what is for their ""partners"" does not reach Allah, while what is for Allah - this reaches their ""partners."" Evil is that which they rule.', 'Excepted are those with whom you made a treaty among the polytheists and then they have not been deficient toward you in anything or supported anyone against you; so complete for them their treaty until their term [has ended]. Indeed, Allah loves the righteous [who fear Him].', 'How can there be for the polytheists a treaty in the sight of Allah and with His Messenger, except for those with whom you made a treaty at al-Masjid al-Haram? So as long as they are upright toward you, be upright toward them. Indeed, Allah loves the righteous [who fear Him].']"
103,13,103_worship_what worship_lord so_worship him,"['worship', 'what worship', 'lord so', 'worship him', 'so worship', 'invoke with', 'straight path', 'not invoke', 'this your', 'am your']","['You only worship, besides Allah, idols, and you produce a falsehood. Indeed, those you worship besides Allah do not possess for you [the power of] provision. So seek from Allah provision and worship Him and be grateful to Him. To Him you will be returned.""', 'Indeed, Allah is my Lord and your Lord, so worship Him. That is the straight path.""', 'Indeed, Allah is my Lord and your Lord, so worship Him. This is a straight path.""']"
104,13,104_night_part_rest_night day,"['night', 'part', 'rest', 'night day', 'rest therein', 'may rest', 'when reach', 'made night', 'has made', 'pray']","['And during the night prostrate to Him and exalt Him a long [part of the] night.', 'And out of His mercy He made for you the night and the day that you may rest therein and [by day] seek from His bounty and [that] perhaps you will be grateful.', 'It is Allah who made for you the night that you may rest therein and the day giving sight. Indeed, Allah is full of bounty to the people, but most of the people are not grateful.']"
